obs_date,vmt
Jun-22,"277,059"
Jul-22,"281,976"
Aug-22,"284,347"
Sep-22,"275,638"
Oct-22,"280,673"
Nov-22,"258,728"
Dec-22,"258,030"
Jan-23,"249,207"
Feb-23,"235,447"
Mar-23,"273,712"
Apr-23,"258,225"
May-23,"289,640"
Jun-23,"285,605"
Jul-23,"289,796"
Aug-23,"290,916"
Sep-23,"278,035"
Oct-23,"284,049"
Nov-23,"265,139"
Dec-23,"263,587"
Jan-24,"246,992"
Feb-24,"240,194"
Mar-24,"275,524"
Apr-24,"263,901"
May-24,"293,411"
